code,date,volume
000001,2026-06-08,1090926.0
000001,2026-06-09,1149672.0
000001,2026-06-10,1543176.0
000001,2026-06-11,1156222.0
000001,2026-06-12,2032355.0
000002,2026-06-08,1524904.0
000002,2026-06-09,1280123.0
000002,2026-06-10,1198192.0
000002,2026-06-11,1173934.0
000002,2026-06-12,1414476.0
000006,2026-06-08,390589.0
000006,2026-06-09,292360.0
000006,2026-06-10,255529.0
000006,2026-06-11,228459.0
000006,2026-06-12,237789.0
000007,2026-06-08,111474.0
000007,2026-06-09,148948.0
000007,2026-06-10,192086.0
000007,2026-06-11,128837.0
000007,2026-06-12,107596.0
000008,2026-06-08,372653.0
000008,2026-06-09,178249.0
000008,2026-06-10,251902.0
000008,2026-06-11,349426.0
000008,2026-06-12,267045.0
000009,2026-06-08,259584.0
000009,2026-06-09,186986.0
000009,2026-06-10,164383.0
000009,2026-06-11,184881.0
000009,2026-06-12,369128.0
000010,2026-06-08,564837.0
000010,2026-06-09,183244.0
000010,2026-06-10,283265.0
000010,2026-06-11,224249.0
000010,2026-06-12,307401.0
000011,2026-06-08,58115.0
000011,2026-06-09,34968.0
000011,2026-06-10,48968.0
000011,2026-06-11,34108.0
000011,2026-06-12,67596.0
000012,2026-06-08,828112.0
000012,2026-06-09,686249.0
000012,2026-06-10,575985.0
000012,2026-06-11,556919.0
000012,2026-06-12,591900.0
