provider,elapsed_seconds,stock_count,success_count,failed_count,success_rate,trading_days,complete_history_count,complete_history_rate,avg_history_days,result_rows,output_csv,errors
mootdx,9.288,3,2,1,0.6667,5,0,0.0,4.0,0,provider_outputs_compare_fixed_20260608_20260612/mootdx_high_volume_stocks.csv,['000004: empty history']
easytdx,0.0,0,0,0,0.0,5,0,0.0,0.0,0,,['无法连接 119.147.212.81:7709: timed out']
tdx2db,0.0,0,0,0,0.0,5,0,0.0,0.0,0,,['tdx2db provider requires --tdx2db-csv or --tdx2db-sqlite']
baostock,143.318,3,3,0,1.0,5,3,1.0,5.0,3,provider_outputs_compare_fixed_20260608_20260612/baostock_high_volume_stocks.csv,[]
